"","V1","V2","V3","V4"
"Row3","LowerMed","43342.6790449965","40937.9375332566","2404.74151173986"
"Row3","LowerLow","27851.3778219922","26840.3775903617","1011.00023163051"
"Row3","UpperMed","26816.9888306729","24975.4553562802","1841.53347439266"
"Row3","UpperLow","30240.7440216638","27026.5483212156","3214.19570044824"
