,Index,Model
0,2003-05-31,3.2360885269798496e-05
1,2003-06-01,0.0001814924732750209
2,2003-06-02,0.0007553575756908294
3,2003-06-03,0.002757775241738805
4,2003-06-04,0.009069152452823548
5,2003-06-05,0.02364541165255203
6,2003-06-06,0.04844068501274106
7,2003-06-07,0.08137084106246117
8,2003-06-08,0.11862809290753605
9,2003-06-09,0.15512917193283116
10,2003-06-10,0.1867994979934523
11,2003-06-11,0.21454524409587863
12,2003-06-12,0.2409711142937894
13,2003-06-13,0.2667191966611201
14,2003-06-14,0.289491975245532
15,2003-06-15,0.30798094648403196
16,2003-06-16,0.32253867876785786
17,2003-06-17,0.33498412865164595
18,2003-06-18,0.3448225070391501
19,2003-06-19,0.3522913957357682
20,2003-06-20,0.3580727298443418
21,2003-06-21,0.362904130186925
22,2003-06-22,0.36651768129261725
23,2003-06-23,0.3697856049608058
24,2003-06-24,0.3725870976341828
25,2003-06-25,0.3746579441907818
26,2003-06-26,0.3761927267618481
27,2003-06-27,0.37741132218654566
28,2003-06-28,0.37858888085164094
29,2003-06-29,0.3796361277528728
30,2003-06-30,0.3805134381064491
31,2003-07-01,0.3812208897901499
32,2003-07-02,0.3817867126516185
33,2003-07-03,0.38222069883895016
34,2003-07-04,0.3825570197167842
35,2003-07-05,0.38283441056488116
36,2003-07-06,0.38306447222854517
37,2003-07-07,0.38324770212082143
38,2003-07-08,0.38338672935627854
39,2003-07-09,0.3834939037473555
40,2003-07-10,0.38357867023417214
41,2003-07-11,0.38364669153286335
42,2003-07-12,0.3837038690352444
43,2003-07-13,0.3837494221514692
44,2003-07-14,0.3837853436076133
45,2003-07-15,0.3838135144110904
46,2003-07-16,0.38383320238880475
47,2003-07-17,0.38384728253833417
48,2003-07-18,0.3838602509812388
49,2003-07-19,0.38387133080607094
50,2003-07-20,0.3838804041384064
51,2003-07-21,0.3838876124579579
52,2003-07-22,0.38389533180720076
53,2003-07-23,0.3839030124011011
54,2003-07-24,0.3839105219183879
55,2003-07-25,0.38391694242251795
56,2003-07-26,0.3839221020269805
57,2003-07-27,0.3839262407076066
58,2003-07-28,0.38392993118211005
59,2003-07-29,0.3839413577802021
60,2003-07-30,0.3839925958427968
61,2003-07-31,0.38418007383334396
62,2003-08-01,0.38466008868713447
63,2003-08-02,0.3861776756809588
64,2003-08-03,0.38974869892834185
65,2003-08-04,0.39645573903439935
66,2003-08-05,0.4072973577030872
67,2003-08-06,0.4238483398738798
68,2003-08-07,0.4462568288471083
69,2003-08-08,0.47302069909511574
70,2003-08-09,0.5017191752473836
71,2003-08-10,0.5314387135594796
72,2003-08-11,0.560553280824687
73,2003-08-12,0.5872642601733485
74,2003-08-13,0.610653757961127
75,2003-08-14,0.6315621065117528
76,2003-08-15,0.6497484573471993
77,2003-08-16,0.6648568191273204
78,2003-08-17,0.677059514770107
79,2003-08-18,0.6892862177446649
80,2003-08-19,0.7009980416643395
81,2003-08-20,0.7128900446394797
82,2003-08-21,0.7231090842558743
83,2003-08-22,0.7320697688130748
84,2003-08-23,0.7394051363139815
85,2003-08-24,0.7447960218295855
86,2003-08-25,0.7497952653374423
87,2003-08-26,0.754303503324768
88,2003-08-27,0.758289370115456
89,2003-08-28,0.7617117491297268
90,2003-08-29,0.7645125118086863
91,2003-08-30,0.7668501812388784
92,2003-08-31,0.7686736740618119
93,2003-09-01,0.7699578764050383
94,2003-09-02,0.7710918451344223
95,2003-09-03,0.7722481868614732
96,2003-09-04,0.773329644724244
97,2003-09-05,0.7743454854069877
98,2003-09-06,0.7752250067866274
99,2003-09-07,0.775930832495532
100,2003-09-08,0.7763983140669634
101,2003-09-09,0.776865920683253
102,2003-09-10,0.7772788268940255
103,2003-09-11,0.7776090072306991
104,2003-09-12,0.7778844208860786
105,2003-09-13,0.778109813542592
106,2003-09-14,0.778312183196484
107,2003-09-15,0.7784825643682329
108,2003-09-16,0.7786223989806577
109,2003-09-17,0.7787393011541582
110,2003-09-18,0.7788337399785227
111,2003-09-19,0.7789054470160889
112,2003-09-20,0.7789600073717914
113,2003-09-21,0.7790015141280574
114,2003-09-22,0.7790360965444104
115,2003-09-23,0.7790729694700513
116,2003-09-24,0.7791155045542854
117,2003-09-25,0.7791726535063688
118,2003-09-26,0.7792594294713486
119,2003-09-27,0.779433149211562
120,2003-09-28,0.7798116048052166
121,2003-09-29,0.7805423629471129
122,2003-09-30,0.7818238300934552
123,2003-10-01,0.7838308394319095
124,2003-10-02,0.786960884013707
125,2003-10-03,0.7916491481168739
126,2003-10-04,0.7983551700735739
127,2003-10-05,0.8075254473884806
128,2003-10-06,0.8193172933657858
129,2003-10-07,0.8336990939761245
130,2003-10-08,0.849699979755851
131,2003-10-09,0.8651947321094081
132,2003-10-10,0.883464904365712
133,2003-10-11,0.9032425609743634
134,2003-10-12,0.9232400914789862
135,2003-10-13,0.9431883075713986
136,2003-10-14,0.962581387012838
137,2003-10-15,0.9815800985487174
138,2003-10-16,1.0000000000000002
